scene_name,tile,platform,sensing_date,processing_baseline,product_uuid,esa_flag,failed_indicator,expected_reject,sensor_quality,geometric_quality,general_quality,format_correctness,radiometric_quality,degraded_anc_pct,degraded_msi_pct,nodata_pct,saturated_defective_pct,cloud_cover_pct,mask_defective_px,mask_nodata_px,mask_lost_packet_px,mask_saturated_px,source
S2B_MSIL1C_20240611T100559_N0510_R022_T32SPF_20240611T120915.SAFE,T32SPF,SENTINEL-2,2024-06-11T10:05:59.024000Z,,115c55b7-b3dc-4676-bd43-84fd0f6d403f,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.0,,,,,ESA_OLQC
S2A_MSIL1C_20240613T100031_N0510_R122_T32SPF_20240613T134114.SAFE,T32SPF,SENTINEL-2,2024-06-13T10:00:31.024000Z,,b17a5c72-9c69-4599-aa38-5988e327e33e,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,27.668547881394,,,,,ESA_OLQC
S2A_MSIL1C_20240616T100601_N0510_R022_T32SPF_20240616T153139.SAFE,T32SPF,SENTINEL-2,2024-06-16T10:06:01.024000Z,,f2049e55-0878-4658-b2c0-5338e668ec77,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,84.848292599962,,,,,ESA_OLQC
S2B_MSIL1C_20240618T095549_N0510_R122_T32SPF_20240618T120207.SAFE,T32SPF,SENTINEL-2,2024-06-18T09:55:49.024000Z,,80824278-3386-4067-86e1-31f6cf481dae,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,62.057810027173,,,,,ESA_OLQC
S2B_MSIL1C_20240621T100559_N0510_R022_T32SPF_20240621T134952.SAFE,T32SPF,SENTINEL-2,2024-06-21T10:05:59.025000Z,,a0560430-2a7a-4c90-9b73-8174e7e94354,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.0,,,,,ESA_OLQC
S2A_MSIL1C_20240623T100031_N0510_R122_T32SPF_20240623T134011.SAFE,T32SPF,SENTINEL-2,2024-06-23T10:00:31.024000Z,,28af02fd-d881-413f-85af-e9c6ba4dc6fe,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,21.62289109857,,,,,ESA_OLQC
S2A_MSIL1C_20240626T101031_N0510_R022_T32SPF_20240626T152850.SAFE,T32SPF,SENTINEL-2,2024-06-26T10:10:31.024000Z,,a7e67339-148b-4d7e-96cb-bc1ccb42f89b,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.0,,,,,ESA_OLQC
S2B_MSIL1C_20240628T095549_N0510_R122_T32SPF_20240628T115919.SAFE,T32SPF,SENTINEL-2,2024-06-28T09:55:49.024000Z,,caf4b9cb-9921-4c80-8693-3fdfef273ea8,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,0.0,,,,,ESA_OLQC
S2B_MSIL1C_20240701T100559_N0510_R022_T32SPF_20240701T121156.SAFE,T32SPF,SENTINEL-2,2024-07-01T10:05:59.024000Z,,5a6805ae-1704-4689-8ffe-90a3892a4a24,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,8.736605416629,,,,,ESA_OLQC
S2A_MSIL1C_20240703T100031_N0510_R122_T32SPF_20240703T120322.SAFE,T32SPF,SENTINEL-2,2024-07-03T10:00:31.024000Z,,93af983f-7423-4664-95fa-3fa424e68d82,PASSED,,0,PASSED,PASSED,PASSED,PASSED,PASSED,0.0,0.0,,,21.330108393801,,,,,ESA_OLQC
